Date,Log Currency in Circulation ($ Bil)
12/31/2002,6.516891057
12/31/2003,6.541645093
12/31/2004,6.591987457
12/31/2005,6.635686868
12/31/2006,6.677081236
12/31/2007,6.699153635
12/31/2008,6.72398601
12/31/2009,6.81051951
12/31/2010,6.851709764
12/31/2011,6.930627082
12/31/2012,7.014385201
12/31/2013,7.084239737
12/31/2014,7.153728357
12/31/2015,7.223538269
12/31/2016,7.284359929
12/31/2017,7.349317112
12/31/2018,7.415285306
12/31/2019,7.464445799
12/31/2020,7.573033681
8/31/2021,7.672166264
