Date,Loss Function,VIX,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%)
12/31/2003,-0.100819019,,,,
12/31/2004,1.756380284,-0.48586044,,0.025588328,0.332244514
12/31/2005,1.242302914,3.91542919,-0.02736652,-0.006642953,1.64252371
12/31/2006,0.958164381,2.67592904,-0.0149514,-0.002305043,-0.114029424
12/31/2007,-0.118014501,4.68200115,0.00701477,-0.019321969,-1.693733231
12/31/2008,-3.565877814,10.53915364,0.21122765,0.002759976,-3.148452258
12/31/2009,-25.70092814,-16.20127706,0.18577296,0.061701125,1.324795132
12/31/2010,-2.27776985,-8.0765884,-0.91317212,-0.045343246,1.784424215
12/31/2011,7.23816717,10.51210622,0.58206612,0.037727064,-0.091108743
12/31/2012,7.93321366,-7.67055847,-0.18403545,0.004840801,0.112866015
12/31/2013,5.07491227,2.65530656,0.26894999,-0.013903583,-0.071596277
12/31/2014,6.67750385,3.49393345,-0.11347073,-0.000365916,0.013691411
12/31/2015,2.701018024,2.61428354,-0.21990105,0.000321292,0.064344727
12/31/2016,1.25108841,-3.29323388,0.14974844,-0.008988252,0.214443579
12/31/2017,0.724003099,-4.06809249,0.03941225,0.004135523,0.348208271
12/31/2018,0.277877523,10.47405092,-0.040228,0.001011011,0.223870423
12/31/2019,0.002413399,-7.02483141,-0.00541518,-0.016807701,-0.505482015
12/31/2020,-29.08454125,15.09268056,0.58569891,0.059427389,-2.109191648
8/31/2021,26.76258516,-22.90711559,-0.76344117,-0.009455299,1.485713622
